Price,CUDA Cores,Stream Processors,Memory Size,Memory Type,Memory Interface,Thermal Design Power,Clock,Series
369.99,1920.0,0,6.0,6.0,192.0,190.0,1830.0,3.0
399.99,2304.0,0,8.0,6.0,256.0,120.0,1620.0,3.0
249.99,1408.0,0,6.0,6.0,192.0,125.0,1815.0,2.0
739.99,3072.0,0,8.0,6.0,256.0,250.0,1815.0,3.0
581.49,2560.0,0,8.0,6.0,256.0,235.0,1770.0,3.0
339.99,1920.0,0,6.0,6.0,192.0,160.0,1710.0,3.0
534.99,2560.0,0,8.0,6.0,256.0,215.0,1770.0,3.0
289.99,1536.0,0,6.0,6.0,192.0,120.0,1800.0,2.0
159.45,768.0,0,4.0,5.0,128.0,75.0,1493.0,2.0
229.99,1408.0,0,6.0,6.0,192.0,125.0,1845.0,2.0
239.99,1408.0,0,6.0,6.0,192.0,125.0,1830.0,2.0
299.99,1536.0,0,6.0,6.0,192.0,130.0,1875.0,2.0
895.12,2560.0,0,8.0,6.0,256.0,215.0,1830.0,3.0
399.99,1408.0,0,6.0,6.0,192.0,125.0,1830.0,2.0
409.99,2176.0,0,8.0,6.0,256.0,215.0,1725.0,3.0
344.99,1920.0,0,6.0,6.0,192.0,190.0,1680.0,3.0
949.0,3072.0,0,8.0,6.0,256.0,250.0,1845.0,3.0
339.99,1920.0,0,6.0,6.0,192.0,160.0,1680.0,3.0
229.99,1408.0,0,6.0,5.0,192.0,120.0,1785.0,2.0
419.99,2176.0,0,8.0,6.0,256.0,175.0,1680.0,3.0
329.99,1920.0,0,6.0,6.0,192.0,190.0,1755.0,3.0
569.99,2560.0,0,8.0,6.0,256.0,215.0,1800.0,3.0
660.0,2560.0,0,8.0,6.0,256.0,215.0,1815.0,3.0
559.99,2560.0,0,8.0,6.0,256.0,215.0,1800.0,3.0
852.03,3072.0,0,8.0,6.0,256.0,250.0,1845.0,3.0
117999.0,3072.0,0,8.0,6.0,256.0,250.0,1845.0,3.0
187.49,1280.0,0,4.0,6.0,128.0,100.0,1740.0,2.0
599.99,2560.0,0,8.0,6.0,256.0,215.0,1800.0,3.0
879.99,3072.0,0,8.0,6.0,256.0,250.0,1845.0,3.0
369.99,1920.0,0,6.0,6.0,192.0,160.0,1680.0,3.0
219.95,1408.0,0,6.0,5.0,192.0,130.0,1830.0,2.0
239.99,1408.0,0,6.0,6.0,192.0,125.0,1860.0,2.0
329.99,1920.0,0,6.0,6.0,192.0,190.0,1785.0,3.0
824.22,3072.0,0,8.0,6.0,256.0,650.0,1860.0,3.0
269.98,1408.0,0,6.0,6.0,192.0,125.0,1845.0,2.0
169.99,1280.0,0,4.0,6.0,128.0,100.0,1800.0,2.0
429.99,2304.0,0,8.0,6.0,256.0,225.0,1680.0,3.0
359.99,1920.0,0,6.0,6.0,192.0,190.0,1860.0,3.0
449.99,2176.0,0,8.0,6.0,256.0,0,1710.0,3.0
949.99,2560.0,0,8.0,6.0,256.0,215.0,1830.0,3.0
119999.0,3072.0,0,8.0,6.0,256.0,250.0,1830.0,3.0
419.99,2304.0,0,8.0,6.0,256.0,175.0,1620.0,3.0
409.99,2176.0,0,8.0,6.0,256.0,184.0,1665.0,3.0
170.49,896.0,0,4.0,6.0,128.0,75.0,1620.0,2.0
154.99,896.0,0,4.0,5.0,128.0,85.0,1860.0,2.0
122999.0,3072.0,0,8.0,6.0,256.0,250.0,1845.0,3.0
439.99,2304.0,0,8.0,6.0,256.0,175.0,1620.0,3.0
470.99,2176.0,0,8.0,6.0,256.0,175.0,1650.0,3.0
477.44,2176.0,0,8.0,6.0,256.0,175.0,1650.0,3.0
319.99,1920.0,0,6.0,6.0,192.0,160.0,1755.0,3.0
748.99,2560.0,0,8.0,6.0,256.0,215.0,1800.0,3.0
169.99,0.0,0,4.0,6.0,128.0,100.0,1755.0,2.0
249.99,1408.0,0,6.0,6.0,192.0,125.0,0.0,2.0
419.99,2176.0,0,8.0,6.0,256.0,120.0,1710.0,3.0
940.0,3072.0,0,8.0,6.0,256.0,250.0,1845.0,3.0
719.99,3072.0,0,8.0,6.0,256.0,250.0,1845.0,3.0
159.99,896.0,0,4.0,6.0,128.0,85.0,1620.0,2.0
339.99,1920.0,0,6.0,6.0,192.0,160.0,1770.0,3.0
999.99,2560.0,0,8.0,6.0,256.0,215.0,1800.0,3.0
948.88,2560.0,0,8.0,6.0,256.0,215.0,1800.0,3.0
549.99,2560.0,0,8.0,6.0,256.0,215.0,1905.0,3.0
169.99,896.0,0,4.0,5.0,128.0,75.0,1785.0,2.0
149.99,896.0,0,4.0,5.0,128.0,75.0,1755.0,2.0
169.99,896.0,0,4.0,6.0,128.0,0,1740.0,2.0
229.99,1408.0,0,6.0,6.0,192.0,125.0,1830.0,2.0
