Price,GPU,Core Clock,Boost Clock,CUDA Cores,Stream Processors,Memory Size,Memory Type,Memory Interface,Thermal Design Power
369.99,GeForce RTX 2060,NULL,1830 MHz,1920,NULL,6GB,GDDR6,192-Bit,190W
399.99,GeForce RTX 2070,1620 MHz,NULL,2304,NULL,8GB,GDDR6,256-Bit,120W
249.99,GeForce GTX 1660 SUPER,NULL,1815 MHz,1408,NULL,6GB,GDDR6,192-Bit,125W
739.99,GeForce RTX 2080 SUPER,NULL,1815 MHz,3072,NULL,8GB,GDDR6,256-Bit,250W
581.49,GeForce RTX 2070 SUPER,NULL,1770 MHz,2560,NULL,8GB,GDDR6,256-Bit,235W
339.99,GeForce RTX 2060,NULL,1710 MHz,1920,NULL,6GB,GDDR6,192-Bit,160W
534.99,GeForce RTX 2070 SUPER,NULL,1770 MHz,2560,NULL,8GB,GDDR6,256-Bit,215W
289.99,GeForce GTX 1660 Ti,1800 MHz,NULL,1536,NULL,6GB,GDDR6,192-Bit,120W
159.45,GeForce GTX 1050 Ti,1379 MHz (OC)1354 MHz (Gaming)1290 MHz (Silent),1493 MHz (OC)1468 MHz (Gaming)1392 MHz (Silent),768,NULL,4GB,GDDR5,128-Bit,75W
229.99,GeForce GTX 1660 SUPER,1530 MHz,OC Mode: 1845 MHzGaming Mode (Default): 1815 MHz,1408,NULL,6GB,GDDR6,192-Bit,125W
239.99,GeForce GTX 1660 SUPER,1830 MHz,NULL,1408,NULL,6GB,GDDR6,192-Bit,125W
299.99,GeForce GTX 1660 Ti,NULL,1875 MHz,1536,NULL,6GB,GDDR6,192-Bit,130W
895.12,GeForce RTX 2070 SUPER,OC mode: 1635 MHzGaming mode: 1605 MHz,OC mode: 1830 MHzGaming mode: 1800 MHz,2560,NULL,8GB,GDDR6,256-Bit,215W
399.99,GeForce GTX 1660 SUPER,NULL,1830 MHz,1408,NULL,6GB,GDDR6,192-Bit,125W
409.99,GeForce RTX 2060 SUPER,1470 MHz,OC Mode: 1725 MHz Gaming Mode (Default): 1695 MHz,2176,NULL,8GB,GDDR6,256-Bit,215W
344.99,GeForce RTX 2060,NULL,1680 MHz,1920,NULL,6GB,GDDR6,192-Bit,190W
949.00,GeForce RTX 2080 SUPER,NULL,1845 MHz,3072,NULL,8GB,GDDR6,256-Bit,250W
339.99,GeForce RTX 2060,NULL,1680 MHz,1920,NULL,6GB,GDDR6,192-Bit,160W
229.99,GeForce GTX 1660,NULL,1785 MHz,1408,NULL,6GB,GDDR5,192-Bit,120W
419.99,GeForce RTX 2060 SUPER,NULL,1680 MHz,2176,NULL,8GB,GDDR6,256-Bit,175W
329.99,GeForce RTX 2060,NULL,1755 MHz,1920,NULL,6GB,GDDR6,192-Bit,190W
569.99,GeForce RTX 2070 SUPER,NULL,1800 MHz,2560,NULL,8GB,GDDR6,256-Bit,215W
660.00,GeForce RTX 2070 SUPER,NULL,1815 MHz,2560,NULL,8GB,GDDR6,256-Bit,215W
559.99,GeForce RTX 2070 SUPER,NULL,1800 MHz,2560,NULL,8GB,GDDR6,256-Bit,215W
